Datum,Verbrauch,Wind,Solar,Wind+Solar
2016-01-01,1007.11,107.21,18.56,125.77
2016-01-02,1147.89,409.62,9.4,419.02
2016-01-03,1130.63,406.3,13.52,419.82
2016-01-04,1385.93,278.46,10.08,288.54
2016-01-05,1430.11,206.47,12.55,219.02
2016-01-06,1375.73,156.04,12.59,168.63
2016-01-07,1480.61,313.6,14.64,328.24
2016-01-08,1469.35,460.88,40.97,501.85
2016-01-09,1236.5,205.63,23.89,229.52
2016-01-10,1133.1,344.48,18.9,363.37
2016-01-11,1493.8,199.88,10.18,210.06
2016-01-12,1517.06,309.16,15.13,324.29
2016-01-13,1525.13,340.8,12.16,352.96
2016-01-14,1518.12,236.93,44.55,281.48
2016-01-15,1515.73,150.57,8.69,159.26
2016-01-16,1287.07,141.73,8.77,150.5
2016-01-17,1208.63,103.35,8.73,112.08
2016-01-18,1537.45,89.97,19.42,109.39
2016-01-19,1579.1,169.57,20.78,190.36
2016-01-20,1566.54,114.69,14.24,128.93
2016-01-21,1559.12,47.23,19.34,66.56
2016-01-22,1548.33,206.78,35.2,241.98
2016-01-23,1314.26,279.84,10.63,290.47
2016-01-24,1188.14,256.7,17.41,274.1
2016-01-25,1472.2,306.53,33.78,340.31
2016-01-26,1504.52,484.66,41.68,526.35
2016-01-27,1520.14,659.56,24.52,684.08
2016-01-28,1500.61,463.77,36.62,500.38
2016-01-29,1480.93,650.34,49.52,699.86
2016-01-30,1290.34,673.81,27.9,701.71
2016-01-31,1174.35,490.03,19.96,509.98
2016-02-01,1496.84,567.82,14.78,582.6
2016-02-02,1526.01,695.82,25.38,721.21
2016-02-03,1532.58,534.97,30.86,565.83
2016-02-04,1522.15,364.41,15.19,379.6
2016-02-05,1478.36,270.01,22.66,292.67
2016-02-06,1253.39,412.12,60.22,472.35
2016-02-07,1158.09,515.96,38.07,554.04
2016-02-08,1464.91,751.65,32.28,783.93
2016-02-09,1504.7,614.37,22.97,637.34
2016-02-10,1524.29,402.86,28.39,431.25
2016-02-11,1501.41,321.22,44.04,365.26
2016-02-12,1467.09,84.49,66.41,150.9
2016-02-13,1265.84,169.92,49.37,219.29
2016-02-14,1179.31,280.41,26.91,307.31
2016-02-15,1499.43,213.62,23.47,237.09
2016-02-16,1520.27,77.66,47.48,125.14
2016-02-17,1535.19,197.77,44.22,241.99
2016-02-18,1502.38,81.68,63.59,145.27
2016-02-19,1500.86,124.39,35.43,159.82
2016-02-20,1323.47,607.08,17.52,624.6
2016-02-21,1192.22,641.78,22.52,664.3
2016-02-22,1495.92,538.5,49.99,588.5
2016-02-23,1508.38,293.99,37.72,331.71
2016-02-24,1498.98,251.74,74.18,325.92
2016-02-25,1500.38,165.29,60.55,225.84
2016-02-26,1454.92,88.15,77.86,166.01
2016-02-27,1236.37,114.99,110.02,225.02
2016-02-28,1155.18,187.64,71.2,258.85
2016-02-29,1461.93,245.92,42.62,288.54
2016-03-01,1520.38,247.36,47.75,295.12
2016-03-02,1507.05,359.87,33.77,393.64
2016-03-03,1493.77,105.49,52.01,157.49
2016-03-04,1474.43,282.38,74.04,356.42
2016-03-05,1245.39,83.98,41.6,125.58
2016-03-06,1158.44,121.34,49.2,170.55
2016-03-07,1453.25,58.42,72.46,130.88
2016-03-08,1490.24,73.72,76.2,149.92
2016-03-09,1495.36,242.1,119.01,361.11
2016-03-10,1475.78,126.09,96.56,222.65
2016-03-11,1462.24,93.16,67.95,161.11
2016-03-12,1286.03,88.7,62.82,151.52
2016-03-13,1200.11,136.04,60.25,196.3
2016-03-14,1442.93,92.25,133.96,226.22
2016-03-15,1484.28,164.02,35.24,199.25
2016-03-16,1483.72,259.23,108.36,367.6
2016-03-17,1447.59,82.66,157.92,240.58
2016-03-18,1443.66,134.0,111.76,245.76
2016-03-19,1233.66,128.63,74.6,203.23
2016-03-20,1144.54,280.15,63.36,343.51
2016-03-21,1440.59,317.21,62.18,379.39
2016-03-22,1457.46,175.31,69.93,245.24
2016-03-23,1452.44,139.67,62.74,202.4
2016-03-24,1419.2,78.91,72.1,151.0
2016-03-25,1142.93,179.42,34.32,213.74
2016-03-26,1125.19,246.25,126.36,372.61
2016-03-27,1037.18,391.79,88.52,480.32
2016-03-28,1082.13,496.78,93.27,590.05
2016-03-29,1391.79,412.7,106.98,519.68
2016-03-30,1425.7,296.96,70.17,367.13
2016-03-31,1413.71,115.27,89.11,204.38
2016-04-01,1394.42,96.55,105.31,201.86
2016-04-02,1166.27,175.06,141.48,316.54
2016-04-03,1067.58,103.75,124.61,228.36
2016-04-04,1360.8,138.27,114.06,252.33
2016-04-05,1400.76,144.46,96.94,241.4
2016-04-06,1428.78,414.34,111.12,525.46
2016-04-07,1419.36,345.79,95.06,440.85
2016-04-08,1383.82,88.27,112.63,200.9
2016-04-09,1154.79,76.87,114.94,191.82
2016-04-10,1063.49,155.99,128.07,284.07
2016-04-11,1371.37,228.27,159.55,387.82
2016-04-12,1386.95,96.34,125.52,221.86
2016-04-13,1402.75,48.09,104.91,153.0
2016-04-14,1399.72,57.07,124.88,181.95
2016-04-15,1357.33,216.38,77.28,293.66
2016-04-16,1041.04,321.74,94.12,415.86
2016-04-17,970.11,190.56,87.32,277.88
2016-04-18,1352.36,254.76,119.69,374.45
2016-04-19,1401.46,396.06,127.56,523.62
2016-04-20,1381.37,181.51,191.03,372.54
2016-04-21,1369.59,101.96,208.67,310.62
2016-04-22,1346.62,149.52,171.32,320.84
2016-04-23,1138.14,197.28,89.7,286.98
2016-04-24,978.83,174.22,136.64,310.87
2016-04-25,1385.12,258.3,119.73,378.04
2016-04-26,1429.26,270.62,96.57,367.19
